YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2013 09 09 19 50  12  7.6 10.1  1.59  9.09  5.32 280 1016.9  15.7  15.0 999.0 99.0 99.00
2013 09 09 20 50 359  9.0 10.7  1.53  8.33  5.19 293 1016.6  15.6  14.9 999.0 99.0 99.00
2013 09 09 21 50 353  8.9 10.8  1.67 11.43  5.16 333 1015.8  16.0  14.8 999.0 99.0 99.00
2013 09 09 22 50 352 10.2 12.0  1.76  5.56  5.15 341 1015.3  16.0  14.9 999.0 99.0 99.00
2013 09 09 23 50 348 10.5 12.4  1.72  5.88  5.02 340 1014.7  16.2  14.8 999.0 99.0 99.00
2013 09 10 00 50 353 10.2 12.0  1.73  5.56  4.81 352 1014.5  16.1  15.1 999.0 99.0 99.00
2013 09 10 01 50 358  9.4 11.9  1.95  5.56  5.17 353 1014.3  16.1  15.2 999.0 99.0 99.00
2013 09 10 02 50 352 10.2 12.1  1.90  5.88  5.09 351 1014.0  16.1  15.6 999.0 99.0 99.00
2013 09 10 03 50 358  9.4 11.0  1.87  5.88  5.07 346 1014.3  16.0  15.5 999.0 99.0 99.00
2013 09 10 04 50 358  9.6 11.5  2.08  5.56  5.20 354 1014.1  15.9  14.9 999.0 99.0 99.00
2013 09 10 05 50 360  8.2  9.8  1.91  6.25  5.17 349 1014.2  15.8  14.5 999.0 99.0 99.00
